base_error,width,power,trial,reson_factor,eff_error,mem_stab,cycle_score,T_int,I,success,fail_reason
0.06,0.05,4.0,2762,0.0010425789334145778,0.06599999999992592,0.867843852310591,1.579022154811142,0.37910567111456994,3.4106855262403073,0,Genetic
0.06,0.05,4.0,2763,3.8000700152718974e-10,0.066,0.8757851497124103,1.593493887389102,0.37980871853611003,3.4335303265178942,0,Genetic
0.06,0.05,4.0,2764,4.773592903403395e-05,0.066,0.8636146281234754,1.5818928871292566,0.38702206070056205,3.3238021940184495,0,Genetic
0.06,0.05,4.0,2765,7.827903950379787e-05,0.066,0.8486698070068748,1.5378850830316373,0.3870505695323345,3.222379202386132,0,Genetic
0.06,0.05,4.0,2766,0.6271297541854741,0.0563016653374224,0.867792763438147,1.5654249662167583,0.386221667494413,3.2989157111177296,0,Genetic
0.06,0.05,4.0,2767,0.1268696716750293,0.06598375578216772,0.8383330932141224,1.52864953434561,0.3836230764591013,3.233713107751664,0,Genetic
0.06,0.05,4.0,2768,0.03244056588500148,0.06599993055815899,0.847112714154232,1.5251542973869394,0.382466558725406,3.2263180199929127,0,Genetic
0.06,0.05,4.0,2769,6.503318513605669e-13,0.066,0.9047650996451576,1.6888674430906927,0.38089072019115966,3.6610973532165496,0,Genetic
0.06,0.05,4.0,2770,0.1955551721532974,0.06590830518714921,0.8514186655588126,1.5638952936338384,0.38469122743647177,3.325970226705801,0,Genetic
0.06,0.05,4.0,2771,0.7825333565235695,0.04248857365765133,0.8255371065077275,1.5145682613302984,0.3883368138726499,3.1535948544505916,1,None
0.06,0.05,4.0,2772,1.933641444203936e-08,0.066,0.8095838805595352,1.4771839352948928,0.3766404952809445,3.1356563822489125,0,Genetic
0.06,0.05,4.0,2773,0.9830888427562758,0.007434937672035149,0.8569532752442184,1.5608223064996087,0.38086220441105,3.3356445656420424,1,None
0.06,0.05,4.0,2774,0.5856435106073766,0.058624340109800326,0.8294790074570848,1.488746614453325,0.3982696533394122,3.0049597751739037,0,Genetic
0.06,0.05,4.0,2775,0.0004072931778169722,0.06599999999999828,0.8485727708312513,1.541418048631317,0.395787497347969,3.1531727612311338,0,Genetic
0.06,0.05,4.0,2776,0.026486002235236852,0.06599996914445752,0.8474575676859861,1.5443329899114866,0.38161764087723676,3.2820230956308256,0,Genetic
0.06,0.05,4.0,2777,0.10981161924537075,0.06599088281592934,0.827508828447996,1.5056499240772392,0.3938852712757389,3.0790616654777514,0,Genetic
0.06,0.05,4.0,2778,0.9482910654533718,0.015296939355906852,0.8392623775601142,1.5519370603828933,0.38776323985612654,3.2381167216910756,1,None
